Category,Entry,Speaker
Act5_Scene1_Graveyard,Very strangely by a kind of madness.,First Clown
Act5_Scene1_Graveyard,Of what?,Hamlet
Act5_Scene1_Graveyard,Why here in Denmark: I have been sexton here man and boy thirty years.,First Clown
Act5_Scene1_Graveyard,How long will a man lie i' the earth ere he rot?,Hamlet
Act5_Scene1_Graveyard,Faith if he be not rotten before he die—and we have many pocky corses now-a-days that will scarce hold the laying in—,First Clown
Act5_Scene1_Graveyard,He must build churches then.,Hamlet
Act5_Scene1_Graveyard,No I tell thee he will keep no mean in the talking to himself: words words words.,First Clown
Act5_Scene1_Graveyard,Alas poor Yorick! I knew him Horatio: a fellow of infinite jest of most excellent fancy.,Hamlet
Act5_Scene1_Graveyard,He hath borne me on his back a thousand times; and now how abhorred in my imagination it is!,Hamlet
Act5_Scene1_Graveyard,My gorge rises at it. Here hung those lips that I have kissed I know not how oft.,Hamlet
Act5_Scene1_Graveyard,Where be your gibes now? your gambols? your songs? your flashes of merriment that were wont to set the table on a roar?,Hamlet
Act5_Scene1_Graveyard,Not one now to mock your own grinning? quite chap-fallen? Now get you to my lady's chamber and tell her let her paint an inch thick to this favour she must come; make her laugh at that.,Hamlet
Act5_Scene1_Graveyard,Prithee Horatio tell me one thing.,Hamlet
Act5_Scene1_Graveyard,What's that my lord?,Horatio
Act5_Scene1_Graveyard,Dost thou think Alexander looked o' this fashion i' the earth?,Hamlet
Act5_Scene1_Graveyard,E'en so.,Horatio
Act5_Scene1_Graveyard,To what base uses we may return Horatio! Why may not imagination trace the noble dust of Alexander till he find it stopping a bunghole?,Hamlet
Act5_Scene1_Graveyard,'Twere to consider too curiously to consider so.,Horatio
Act5_Scene1_Graveyard,No faith not a jot; but to follow him thither with modesty enough and likelihood to lead it: as thus: Alexander died Alexander was buried Alexander returneth into dust; the dust is earth; of earth we make loam; and why of that loam whereto he was converted might they not stop a beer-barrel?,Hamlet
Act5_Scene1_Graveyard,Imperious Caesar dead and turned to clay might stop a hole to keep the wind away.,Hamlet
Act5_Scene1_Graveyard,O that that earth which kept the world in awe should patch a wall t' expel the winter's flaw!,Hamlet
