"Category","Entry","Speaker"
"Act4_Scene4_Cliffside","I' faith if he be not rotten before he die—","First Clown"
"Act4_Scene4_Cliffside","Ha! ha! ha!—","Hamlet"
"Act5_Scene2_Messenger_Hall","—we shall have him a piece of a carrion: Lord an he had lain i' the ground two years he would not have smelled.","First Clown"
"Act5_Scene2_Messenger_Hall","How came he mad?","Hamlet"
"Act5_Scene2_Messenger_Hall","Very strangely by a kind of madness.","First Clown"
"Act5_Scene2_Messenger_Hall","Of what?","Hamlet"
"Act5_Scene2_Messenger_Hall","Why here in Denmark: I have been sexton here man and boy thirty years.","First Clown"
"Act5_Scene2_Messenger_Hall","How long will a man lie i' the earth ere he rot?","Hamlet"
"Act5_Scene2_Messenger_Hall","Faith if he be not rotten before he die—and we have many pocky corses now-a-days that will scarce hold the laying in—","First Clown"
"Act5_Scene2_Messenger_Hall","He must build churches then.","Hamlet"
"Act5_Scene2_Messenger_Hall","No I tell thee he will keep no mean in the talking to himself: words words words.","First Clown"
"Act5_Scene2_Messenger_Hall","Alas poor Yorick! I knew him Horatio: a fellow of infinite jest of most excellent fancy.","Hamlet"
"Act5_Scene2_Messenger_Hall","He hath borne me on his back a thousand times; and now how abhorred in my imagination it is!","Hamlet"
"Act5_Scene2_Messenger_Hall","My gorge rises at it. Here hung those lips that I have kissed I know not how oft.","Hamlet"
"Act5_Scene2_Messenger_Hall","Where be your gibes now? your gambols? your songs? your flashes of merriment that were wont to set the table on a roar?","Hamlet"
